0,1,2,3,4,5,6,7,8,9
0.489,0.05,0.035,0.021,0.012,0.022,0.027,0.043,0.224,0.077
0.057,0.476,0.019,0.036,0.017,0.038,0.043,0.041,0.105,0.168
0.122,0.055,0.222,0.078,0.098,0.088,0.171,0.064,0.073,0.029
0.055,0.081,0.08,0.214,0.042,0.193,0.147,0.054,0.063,0.071
0.066,0.034,0.148,0.051,0.24,0.085,0.203,0.1,0.038,0.035
0.049,0.039,0.086,0.135,0.056,0.338,0.115,0.066,0.08,0.036
0.02,0.053,0.063,0.089,0.069,0.082,0.534,0.022,0.025,0.043
0.057,0.055,0.061,0.043,0.083,0.076,0.069,0.396,0.056,0.104
0.141,0.078,0.009,0.021,0.006,0.041,0.013,0.012,0.564,0.115
0.064,0.177,0.01,0.021,0.014,0.02,0.049,0.042,0.118,0.485
